index,name,Producer,Region/Appellation,Grape/Blend,Food Suggestion,Wine Style,Alcohol Content,instance,vivino_wine,id,winery,region,style,varietal_name,regional_name,body,acidity,style_description,ratings_count,ratings_average,vintage_description,ranking_region,ranking_global,added_sulfites,biodynamic,wine_description,country_name,type_id,type
30,Kosher Chardonnay 2018 Backsberg,Backsberg,Paarl,Chardonnay,Cheddar and Gruyere,Buttery and Complex,13 - 14%,"Wine: Kosher Chardonnay 2018 Backsberg, Source: name-search",Backsberg Kosher Chardonnay,4870323,Backsberg,Paarl,South African Chardonnay,Chardonnay,South African,4,3,"Although South Africa's most popular white wine grape is Chenin Blanc, the Chardonnays from this country can be stunning. Rich flavors of citrus and tropical fruits are hallmarks of South African Chardonnay.

There is a wide range of styles from unoaked to oaked to blends and more. But the one thing that is the same is that the quality gets better all the time.

Like with just about every major wine-producing region, Chardonnay has found a way to be one of South Africa's country's biggest exports. The Chardonnays from South Africa range from steely wines with a clean, citrusy focus to heavily oaked ones with a rich, buttery consistency.

South African Chardonnays typically produce aromas and flavors rich in tropical fruit and exotic spices. Winemakers here like to experiment and it is even popular in Stellenbosch to blend Chardonnay with Sauvignon Blanc. Generally, the wines are simpler than French Chardonnays, and are lighter and more tropical than Californian Chardonnays.

However, some of the best producers in South Africa can compete with the best Chardonnays in the world.",19,3.3,,0.3741728922091782,0.3455496485764251,,,"Lemon zest, melon and hazelnut characters combine to give a complex, but fresh,noseandpalate.Natural acidity is balanced by sweet fruit flavours of white peach, giving a medium-bodied wine with a long, rewarding finish. Please note that this wine is Muvushal and Kosher for Passover. Made under the auspices of the Cape Town Beth Din and the OU of the United States.",South Africa,2,White
32,Syrah 2016 Noble Hill,Noble Hill Wine Estate,Paarl,Syrah,Beef and Venison,Rich and Intense,14 - 14.5%,"Wine: Syrah 2016 Noble Hill, Source: name-search",Noble Hill Syrah,4820043,Noble Hill,Paarl,South African Syrah,Syrah,South African,5,3,"The big, luscious Syrah grape is one of the darlings of the New World wine varietals. Originally from the Rhone Valley, this grape has found its home in dry, hot climates.

South African Syrah tends to be heavy in blackberry and plum, with a voluptuous full body and a good dose of tannin.

Syrah (or Shiraz as it's also known) is an extremely robust grape that loves hot weather. While it originated in the Rhone Valley, many believe that it is being perfected in the Barossa region of Australia.

Every region along the beautiful Western Cape of South Africa produces Syrah, and warmer, drier areas further inland such as Swartland, have started to embrace the grape.

Syrah loves dancing with bold foods that can stand up to their often-assertive personalities. BBQ'd steak, ribs, roasts, and game would all pair extremely well with a big South African Syrah.",802,3.8,,0.08755379388448471,0.06227414146788054,,,"Fresh black cherries, and dark chocolate a perfect match for rich flavours. the smooth and balanced to delight the is well integrated.",South Africa,1,Red
33,Reserve della Contessa 2017 Manincor,Manincor,Alto Adige Terlano,Rare White Blend,White Fish,Green and Flinty,13%,"Wine: Reserve della Contessa 2017 Manincor, Source: name-search",Manincor Réserve della Contessa,1685543,Manincor,Südtirol - Alto Adige,Northern Italy White,White,Northern Italy,3,3,"Often better known for red varieties, Northern Italy has a number of delicious and drinkable white wines. To know Northern Italian wines is to know the influences of the wines of the countries that border Italy.

Old World wines tend to be far less about fruit-forward  flavors, and more about the effect that the climate, soil, and adjacently growing flora (terroir) have on the grapes during their growth.

The most widely recognizable varietal is Pinot Grigio which is very rustic, medium-bodied, with medium to high acidity. Chardonnay seems to grow anywhere grapes can grow although Italian varieties are not normally coveted quality.

Gewürztraminer usually makes us think of Germany, but it's also thriving in Northern Italy. The warmer climate imparts a little less sugar and little more acidity than its German cousin.

Then there is Moscato. From the northwest Piedmont region, this wine is sweet and very popular in North America, and comes in both still and sparkling varieties.

Whatever your choice, taking a tour of Italian white wines is an enjoyable experience that you will be thankful you took.",1843,3.8,,0.06948526252470567,0.06135361635117351,,,"Full, bright yellow with greenish reflexes. Fresh aroma of apple and apricot with a hint of sage on the nose, concentrated and elegant on the palate with excellent length. ",Italy,2,White
34,"Barolo ""Pernanno"" Jeroboam 2007 Sobrero",Azienda Vitivinicola Sobrero,Barolo,Nebbiolo,Lamb,Savory and Classic,14 - 14.5%,"Wine: Barolo ""Pernanno"" Jeroboam 2007 Sobrero, Source: name-search",Sobrero Pernanno Barolo,16388890,Sobrero,Barolo,Italian Barolo,Barolo,Italian,5,3,"Barolo is a delicious red wine from the Piedmont region of Northern Italy. It is made strictly from Nebbiolo grapes.

Aromatic with rich tannins and characteristics of old oak, these wines are considered by most to be some Italy's finest.

Traditionally a wine enjoyed by gentry, Barolo grows in the region's finest plots of soil.

This wine is robust with evident notes of red flowers on the nose. The palate will enjoy significant acid and strong, long, earthy finish. These wines collect well, although consult a specialist to get a hold of of the best vintages.

Pair this food with big and flavorful pastas, or proteins - steak and well-spiced veal. Avoid underseasoned vegetables, leafy greens, or seafood.

The Nebbiolo grape does not travel well and is high maintenance, which is why it has never thrived quite as well elsewhere as on the Piemontese slopes. Like its top contender, Pinot Noir, Nebbiolo takes kindly to its terroir, thus displaying the subtleties of its environment.",152,4.3,,0.014937646769585526,0.010554025801668449,,,,Italy,1,Red
35,Barolo 2015 Fletcher,Fletcher Wines,Barolo,Nebbiolo,Lamb,Savory and Classic,14.5%,"Wine: Barolo 2015 Fletcher, Source: name-search",Fletcher Alta Pete Barolo,5023008,Fletcher,Barolo,Italian Barolo,Barolo,Italian,5,3,"Barolo is a delicious red wine from the Piedmont region of Northern Italy. It is made strictly from Nebbiolo grapes.

Aromatic with rich tannins and characteristics of old oak, these wines are considered by most to be some Italy's finest.

Traditionally a wine enjoyed by gentry, Barolo grows in the region's finest plots of soil.

This wine is robust with evident notes of red flowers on the nose. The palate will enjoy significant acid and strong, long, earthy finish. These wines collect well, although consult a specialist to get a hold of of the best vintages.

Pair this food with big and flavorful pastas, or proteins - steak and well-spiced veal. Avoid underseasoned vegetables, leafy greens, or seafood.

The Nebbiolo grape does not travel well and is high maintenance, which is why it has never thrived quite as well elsewhere as on the Piemontese slopes. Like its top contender, Pinot Noir, Nebbiolo takes kindly to its terroir, thus displaying the subtleties of its environment.",167,3.8,,0.17642298354464528,0.06734796515945522,,,,Italy,1,Red
36,Barolo Brea 2013 Brovia,Azienda Agricola Brovia,Barolo,Nebbiolo,Lamb,Savory and Classic,14 - 14.5%,"Wine: Barolo Brea 2013 Brovia, Source: name-search",Brovia Brea Vigna Ca'Mia Barolo,3252884,Brovia,Barolo,Italian Barolo,Barolo,Italian,5,3,"Barolo is a delicious red wine from the Piedmont region of Northern Italy. It is made strictly from Nebbiolo grapes.

Aromatic with rich tannins and characteristics of old oak, these wines are considered by most to be some Italy's finest.

Traditionally a wine enjoyed by gentry, Barolo grows in the region's finest plots of soil.

This wine is robust with evident notes of red flowers on the nose. The palate will enjoy significant acid and strong, long, earthy finish. These wines collect well, although consult a specialist to get a hold of of the best vintages.

Pair this food with big and flavorful pastas, or proteins - steak and well-spiced veal. Avoid underseasoned vegetables, leafy greens, or seafood.

The Nebbiolo grape does not travel well and is high maintenance, which is why it has never thrived quite as well elsewhere as on the Piemontese slopes. Like its top contender, Pinot Noir, Nebbiolo takes kindly to its terroir, thus displaying the subtleties of its environment.",801,4.2,,0.02401729863309908,0.008521316305826962,,,"Colour is intense ruby red. The smell is intense, pleasant, balanced and spicy with a bouquet of plums, cedar, tobacco, liquorice, soy and floral notes. The taste is full bodied, concentrated and rich, with a firm tannic structure.",Italy,1,Red
37,Ribera del Duero 2018 Torremorón,Bodegas Torremoron,Ribera del Duero,Tempranillo,Lamb,Rich and Intense,13 - 13.5%,"Wine: Ribera del Duero 2018 Torremorón, Source: name-search",Torremorón Roble,2114546,Torremorón,Ribera del Duero,Spanish Ribera Del Duero Red,Ribera Del Duero Red,Spanish,5,3,"Rioja may be the most famous region in Spain, but Ribera del Duero is no slouch. These classic wines are made mostly from the grape Tempranillo.

Ribera del Duero wines are known for being strong, dark-colored wines filled with dark fruit, tobacco and vanilla flavors.

The sensual wines of Ribera del Duero are dark, brooding, and exciting. They are famous for taking the traditional Spanish grape Tempranillo and blending it with Bordeaux grapes Cabernet Sauvignon and Merlot. This practice makes wines that are strong, dark and beautiful.

This specific grape blend makes these wines very delicious, but their popularity slipped drastically in the 1970s. Extremely long barrel aging and old winemaking practices made the wines extremely inconsistent. Even bottles in the same vintage could be very different.

Now, with modern winemaking practices and attention to detail these wines are becoming as consistently incredible as they should be!",166,3.3,,0.3393063336612069,0.21750242385476778,,,"Intense maroon color,with violet shades. On the nose,red fruits predominate with background hints reflecting short.",Spain,1,Red
38,Chardonnay 2018 Strangeways,,California,Chardonnay,Mushrooms,Buttery and Complex,,"Wine: Chardonnay 2018 Strangeways, Source: name-search",Strangeways Chardonnay,156881716,Strangeways,California,Californian Chardonnay,Chardonnay,Californian,4,3,"With over 100,000 acres in production, Chardonnay claims more acreage than any other wine grape in California, and reigns supreme as the most popular wine consumed in the US (that's including reds and whites).

Chardonnay can trace its humble origins to Burgundy. Today it is the most widely planted white wine grape in the world. Why?

Chardonnay is prized because it's a hardy, vigorous vine that readily reflects “terroir” (a French term referring to the characteristics imparted to a wine by the climate and soil in which it is grown). Stylistically, Chardonnay can be clean with bright acidity or full-bodied with tropical notes and varying degrees of oak. In California, the latter is the more popular style.

Sonoma Coast Chards have more acidity. The coastal fog lends a degree of cooling and these wines will often exhibit pear and crisp apple notes, as well as lively citrus characteristics. Napa Valley Chards lean toward a riper and fuller style, with tropical fruit notes. Oak aging adds layers of vanilla, spice, butter and toasted hazelnut.

Oakier Chards with a slightly buttery profile have a natural affinity with rich seafood such as lobster or halibut. They also stand up well to eggs benedict, pork chops stuffed with apples or roasted butternut squash. Crisper, unoaked Chards are best paired with prawns, crab cakes, salads with mangos and or even mild curries.",22,4.1,,0.18295422234859254,0.10262132161180565,,,,United States,2,White
39,Chardonnay 2018 Aslina by Ntsiki Biyela,,South Africa,Chardonnay,Cheddar and Gruyere,Buttery and Complex,12.5%,"Wine: Chardonnay 2018 Aslina by Ntsiki Biyela, Source: name-search",Acacia A by Acacia Chardonnay,1470185,Acacia,California,Californian Chardonnay,Chardonnay,Californian,4,3,"With over 100,000 acres in production, Chardonnay claims more acreage than any other wine grape in California, and reigns supreme as the most popular wine consumed in the US (that's including reds and whites).

Chardonnay can trace its humble origins to Burgundy. Today it is the most widely planted white wine grape in the world. Why?

Chardonnay is prized because it's a hardy, vigorous vine that readily reflects “terroir” (a French term referring to the characteristics imparted to a wine by the climate and soil in which it is grown). Stylistically, Chardonnay can be clean with bright acidity or full-bodied with tropical notes and varying degrees of oak. In California, the latter is the more popular style.

Sonoma Coast Chards have more acidity. The coastal fog lends a degree of cooling and these wines will often exhibit pear and crisp apple notes, as well as lively citrus characteristics. Napa Valley Chards lean toward a riper and fuller style, with tropical fruit notes. Oak aging adds layers of vanilla, spice, butter and toasted hazelnut.

Oakier Chards with a slightly buttery profile have a natural affinity with rich seafood such as lobster or halibut. They also stand up well to eggs benedict, pork chops stuffed with apples or roasted butternut squash. Crisper, unoaked Chards are best paired with prawns, crab cakes, salads with mangos and or even mild curries.",932,3.4,,0.39347359957116057,0.2535314761871819,,,"This wine offers aromas of apple, mango, fig and guava. The medium to full-bodied palate maintains impressive balance and flavor concentration, so it will hold its own with rich foods. The flavors of tropical and ripe stone fruits complement its acidity, and the finish is rich and long.",United States,2,White
40,"2017 Gundlach-Bundschu Estate Vineyard Chardonnay, Sonoma Coast, USA",Gundlach Bundschu Winery,Sonoma Coast,Chardonnay,Mushrooms,Buttery and Complex,13.7 - 15%,"Wine: Chardonnay 2017 Gundlach Bundschu, Source: name-search",Gundlach Bundschu Gap's Crown Vineyard Chardonnay,160030179,Gundlach Bundschu,Petaluma Gap,Californian Chardonnay,Chardonnay,Californian,4,3,"With over 100,000 acres in production, Chardonnay claims more acreage than any other wine grape in California, and reigns supreme as the most popular wine consumed in the US (that's including reds and whites).

Chardonnay can trace its humble origins to Burgundy. Today it is the most widely planted white wine grape in the world. Why?

Chardonnay is prized because it's a hardy, vigorous vine that readily reflects “terroir” (a French term referring to the characteristics imparted to a wine by the climate and soil in which it is grown). Stylistically, Chardonnay can be clean with bright acidity or full-bodied with tropical notes and varying degrees of oak. In California, the latter is the more popular style.

Sonoma Coast Chards have more acidity. The coastal fog lends a degree of cooling and these wines will often exhibit pear and crisp apple notes, as well as lively citrus characteristics. Napa Valley Chards lean toward a riper and fuller style, with tropical fruit notes. Oak aging adds layers of vanilla, spice, butter and toasted hazelnut.

Oakier Chards with a slightly buttery profile have a natural affinity with rich seafood such as lobster or halibut. They also stand up well to eggs benedict, pork chops stuffed with apples or roasted butternut squash. Crisper, unoaked Chards are best paired with prawns, crab cakes, salads with mangos and or even mild curries.",18,3.7,,0.3604687994931897,0.23203610443794156,,,,United States,2,White
41,Prosecco Superiore Brut 1.5L Sanfeletto,Casa Vinicola Sanfeletto,Conegliano Valdobbiadene Prosecco,Glera (Prosecco),Pork,Fresh and Youthful,11.5%,"Wine: Prosecco Superiore Brut 1.5L Sanfeletto, Source: name-search",Sanfeletto Conegliano-Valdobbiadene Prosecco Superiore Brut,2595073,Sanfeletto,Conegliano-Valdobbiadene Prosecco,Italian Prosecco,Prosecco,Italian,1,3,"A beautiful, somewhat less popular, and often less expensive comparison to Champagne, Prosecco is a deliciously dry sparkling wine with crisp acidity, low sugar, with plenty of fruit and character.

Associated with high value at low cost, Prosecco is the perfect option in situations where you want or need a sparkling wine.

Traditionally from the Veneto (North Eastern Italy), Prosecco dons the name for a small village and is fermented almost solely from a grape called Glera. Most Prosecco is non vintage - which means it doesn't come with a year of production on the label.

This wine is not made in the traditional method of “champagne making” with riddling, rebottling and such, which, combined with non vintage production, makes the wine more affordable than champagne. But do not worry lb for lb (or dollar for dollar), Prosecco is often a far tastier option than the French sparkling alternative.

Traditionally served as an aperitif, Prosecco can also be enjoyed with salty cured meats, caviar, or even your favorite dessert. Prosecco is not generally considered a wine to collect.",121,3.8,,0.07719323046203731,0.06924930146280107,,,"Straw yellow with greenish highlights abundant and evanescent froth very fine and persistent perlage elegant, reminiscent of wisteria and acacia blossom, green apple and citrus fruits.
delicate, agreeably acidulous, intensely fruity",Italy,3,Sparkling
42,Prosecco Fagher NV 375mL Le Colture,Le Colture,Conegliano Valdobbiadene Prosecco,Glera (Prosecco),Pork,Fresh and Youthful,11.4 - 12%,"Wine: Prosecco Fagher NV 375mL Le Colture, Source: name-search",Le Colture Fagher Valdobbiadene Brut,2150616,Le Colture,Conegliano-Valdobbiadene Prosecco,Italian Prosecco,Prosecco,Italian,1,3,"A beautiful, somewhat less popular, and often less expensive comparison to Champagne, Prosecco is a deliciously dry sparkling wine with crisp acidity, low sugar, with plenty of fruit and character.

Associated with high value at low cost, Prosecco is the perfect option in situations where you want or need a sparkling wine.

Traditionally from the Veneto (North Eastern Italy), Prosecco dons the name for a small village and is fermented almost solely from a grape called Glera. Most Prosecco is non vintage - which means it doesn't come with a year of production on the label.

This wine is not made in the traditional method of “champagne making” with riddling, rebottling and such, which, combined with non vintage production, makes the wine more affordable than champagne. But do not worry lb for lb (or dollar for dollar), Prosecco is often a far tastier option than the French sparkling alternative.

Traditionally served as an aperitif, Prosecco can also be enjoyed with salty cured meats, caviar, or even your favorite dessert. Prosecco is not generally considered a wine to collect.",303,3.6,,0.11907730673316708,0.11958466044007791,,,,Italy,3,Sparkling
43,Albariño Rias Baixas 2019 Columna,Compania de Vinos del Atlantico,Rias Baixas,Albarino (Alvarinho),"Shellfish, Crab and Lobster",Green and Flinty,12.5%,"Wine: Albariño Rias Baixas 2019 Columna, Source: name-search",Martin Codax Rías Baixas Albariño,1948407,Martin Codax,Rías Baixas,Spanish Albariño,Albariño,Spanish,3,3,"Consisting of the majority of grapes grown in the Northwest Rias Baixas region of Spain, Albariño is quickly gaining esteem for its playfulness and whimsical nature. Mouth-watering and clean, this wine has a complexity that is nearly impossible to dislike.

Incredibly fruit forward for an “old world” wine, Albariño sings the song of relaxed and fulfilling Spanish coastal life.

The wines are bottled early to preserve ripe freshness of fruit with a bracing acidity that will cascade across the palate and accentuate notes of apples, lime, peaches, flowers and grass. A cleansing minerality on the finish leases the palate ready for more. If aged in oak, which not all are, you will taste subtleties of vanilla and dill.

The wine does not age well and should be consumed within a couple of years of bottling. It is also budget friendly so stock up.

Albariño is a classic example of how the local dishes of the region, like traditional Spanish Coastal foods, pair extraordinarily well with the wine. Try this wine with prawns, scallops, shellfish, lobster, and mussels. It also makes a delicious digestif.",24806,3.8,,0.061339408528198074,0.060863761575002846,,,"It has clean, bright lemon yellow with greenish reflections. Medium intensity with ripe citrus notes file type and tangerine. Envelope, fresh and good balance. The aftertaste reminds the note of ripe citrus.",Spain,2,White
44,Toro Tinto Matsu 2018 El Picaro,Bodega Matsu,Toro,Tempranillo,Lamb,Rich and Intense,14 - 14.5%,"Wine: Toro Tinto Matsu 2018 El Picaro, Source: name-search",Alma del Toro Tinto Seco,3614880,Alma del Toro,Castilla,Spanish Red,Red,Spanish,4,3,"The savory red wines of Spain are brooding and complex. They are typically a little lighter than a California Cabernet, but richer and fuller than a Pinot Noir.

The most commonly used red grapes in Spain are the lovely Tempranillo grape and the rich Garnacha, but Cabernet Sauvignon is starting to get popular as well.

The main grape in Spain is Tempranillo, which is followed closely by Garnacha. In the past, Spanish reds were know to be worthy of aging for decades and were very expensive because of this. Now that technology is more available they are making more affordable, fruitier wines.

The most famous red wine in Spain is Rioja and it is made from the Tempranillo grape. Rioja is usually very complex and savory. Another famous wine is Priorat which is made largely from Garnacha and lush with dark fruit, spice, and vanilla.

Sometimes Rioja and Priorat wines can be very pricey due to their long aging, but often those same wineries make much more affordable wines that are aged for less time, but are still delicious!",144,3.0,,0.2637373066337667,0.303699498791593,,,,Spain,1,Red
46,"2018 Domaine Clos des Rocs Macon-Loche En Pres Foret, Burgundy, France",Domaine Clos des Rocs,Macon Loche,Chardonnay,Chicken and Turkey,Buttery and Complex,12.5 - 13.5%,"Wine: Mâcon-Loche 2018 Clos des Rocs, Source: name-search",Clos des Rocs En Près Forêt Mâcon-Loché,4844309,Clos des Rocs,Mâcon-Loché,Burgundy Macônnais White,Macônnais White,Burgundy,3,2,,442,3.8,,0.05202966653456378,0.0635269831128038,,,"Aromas of ripe citrus, it takes with its lively excitement And its subtle floral nuances an aerial dimension. A wine that testifies to the exciting evolution of the winemaker towards more purity and finesse.",France,2,White
47,Meursault Les Narvaux 2017 Chavy-Chouet,Domaine Chavy-Chouet,Meursault,Chardonnay,Chicken and Turkey,Buttery and Complex,13%,"Wine: Meursault Les Narvaux 2017 Chavy-Chouet, Source: name-search",Chavy-Chouet Meursault Les Narvaux,85393779,Chavy-Chouet,Meursault,Burgundy Côte de Beaune White,Côte de Beaune White,Burgundy,4,2,,232,4.1,,0.027568989107450644,0.01736396038611635,,,"Pale gold color. Nose of honeysuckle, white fruits, and crushed rocks. Rich, creamy, clean and pure in the mouth, with flavors of tangerine, white peach, melon and honey.”",France,2,White
48,Graves La Raison 2010 Chateau des Fougères,Chateau des Fougeres,Graves,Bordeaux Blend Red,Beef and Venison,Savory and Classic,,"Wine: Graves La Raison 2010 Chateau des Fougères, Source: name-search",Château des Fougères La Raison Graves Rouge,3637470,Château des Fougères,Graves,Bordeaux Graves Red,Graves Red,Bordeaux Left Bank,4,3,"Though Graves produces both red and white wines, it is mostly known for its elegant Cabernet Sauvignon-based blends, which are typically redolent of dark cherries with savory spice, chocolate and a distinctive minerality.

Wines here tend to be lighter in body and mature more quickly than those from the Haut-Médoc, yet still have fantastic aging potential.

Located on Bordeaux's left bank, Graves is known for its gravel soils, which retain the sun's heat and help ripen grapes.

In 1987, Pessac-Leognan was separated out from the wider Graves appellation, taking with it the all of the region's Classed Growths.",402,3.7,,0.10853205186326956,0.08939211607138507,,,,France,1,Red
49,"Albariño ""Rorick Heritage"" 2018 Etxea",Extea Wines,Sierra Foothills,Albarino (Alvarinho),Root Vegetables and Squashes,Tropical and Balanced,,"Wine: Albariño ""Rorick Heritage"" 2018 Etxea, Source: name-search",Peter Lauer Faß 16 Riesling Trocken,126305323,Peter Lauer,Mosel,German Riesling,Riesling,German,2,3,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity.",310,4.0,,0.015588343210398158,0.02806115417863223,,,,Germany,2,White
50,Riesling 1000L 2018 Julian Haart,Weingut Julian Haart,Mosel,Riesling,White Fish,Green and Flinty,10%,"Wine: Riesling 1000L 2018 Julian Haart, Source: name-search",Julian Haart Haart Riesling,144638008,Julian Haart,Mosel,German Riesling,Riesling,German,2,3,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity.",135,3.9,,0.048175490871895224,0.06861009742859338,,,,Germany,2,White
51,Riesling Extreme Trocken Palmberg 2017 Stein,Stein-Weine,Mosel,Riesling,White Fish,Green and Flinty,,"Wine: Riesling Extreme Trocken Palmberg 2017 Stein, Source: name-search",Stein Palmberg Riesling Trocken,156224952,Stein,Mosel,German Riesling,Riesling,German,2,3,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity.",14,4.0,,0.10435614062395766,0.14279925584062794,,,,Germany,2,White
52,Riesling GG Uhlen R 2014 Heymann-Lowenstein,Weingut Heymann-Loewenstein,Winningen,Riesling,White Fish,Green and Flinty,12.5 - 14.5%,"Wine: Riesling GG Uhlen R 2014 Heymann-Lowenstein, Source: name-search",Heymann-Löwenstein Riesling F,4434163,Heymann-Löwenstein,Mosel,German Riesling,Riesling,German,2,3,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity.",101,4.0,,0.01885638682276553,0.03190173955201848,,,,Germany,2,White
53,2015 beerenauslese proidl,Weingut Karl Proidl,Kremstal,Riesling,White Fish,Green and Flinty,,"Wine: Beerenauslese 500mL 2015 Proidl, Source: name-search",Proidl Senftenberger Beerenauslese Riesling,15263054,Proidl,Kremstal,Austrian Riesling,Riesling,Austrian,3,3,,9,0.0,,0.9969809249348154,0.9972110004572768,,,,Austria,2,White
55,"2017 Cesca Vincent, Priorat DOCa, Spain",Celler Cesca Vicent S.A.,Priorat,Rare Red Blend,Lamb,Bold and Structured,15.5%,"Wine: Priorat 2017 Cesca Vicent, Source: name-search",Cesca Vicent Lo Piot,2281216,Cesca Vicent,Priorat,Spanish Priorat Red,Priorat Red,Spanish,4,3,"The traditional grape grown in this region is Garnacha (or Grenache). Small plantings of Carignan, Cabernet Sauvignon, Merlot and Syrah are common as well.

Wines crafted from Garnacha are often described as intense, rich and powerful. In the Priorat, the wines are especially so, due in part to unique black volcanic soils and long, hot summers.

As with much of the Old World, grapes have been cultivated in the Catalonian Priorat for a long time, since the 12th century, under the care of the Carthusian monks.

The region's vineyards were decimated by phylloxera at the turn of the century, and they were not replanted until the 1950s.

Thankfully, in the late 1980s a group of energetic, young winemakers revitalized this remote and rugged DOQ (Denominació d'Origen Qualificada). Today, Priorat is thought to be one of the top wine-producing regions in Spain, and the wines are highly sought after and can be expensive.

Garnacha wines are typically quite dark in color, with a high alcohol, and blackberry and fig notes. Spicy accents along with mineral, espresso, orange peel and savory notes are common as well. Pair these expressive, full-bodied reds with grilled lamb or beef, wild boar, sausages or hearty winter stews.",375,4.0,,0.13661273486430062,0.027665150137500996,,,"Garnet red, which forms dense tears. Attractive, powerful and complex aroma. It mixes spicy notes with aromas of caramel raisins and ripe figs, rounded with the sweet smoky aroma resulting from aging time in the oak barrels. In the mouth it is dense and tasty, with sweet and spicy tannins. Fleshy, sweet and very round, with a surprising and long aromatic persistence reminiscent of the terroir where the Priory was born.",Spain,1,Red
56,Priorat 2016 Cesca Vicent,Celler Cesca Vicent S.A.,Priorat,Rare Red Blend,Lamb,Bold and Structured,15.5%,"Wine: Priorat 2016 Cesca Vicent, Source: name-search",Cesca Vicent Lo Piot,2281216,Cesca Vicent,Priorat,Spanish Priorat Red,Priorat Red,Spanish,4,3,"The traditional grape grown in this region is Garnacha (or Grenache). Small plantings of Carignan, Cabernet Sauvignon, Merlot and Syrah are common as well.

Wines crafted from Garnacha are often described as intense, rich and powerful. In the Priorat, the wines are especially so, due in part to unique black volcanic soils and long, hot summers.

As with much of the Old World, grapes have been cultivated in the Catalonian Priorat for a long time, since the 12th century, under the care of the Carthusian monks.

The region's vineyards were decimated by phylloxera at the turn of the century, and they were not replanted until the 1950s.

Thankfully, in the late 1980s a group of energetic, young winemakers revitalized this remote and rugged DOQ (Denominació d'Origen Qualificada). Today, Priorat is thought to be one of the top wine-producing regions in Spain, and the wines are highly sought after and can be expensive.

Garnacha wines are typically quite dark in color, with a high alcohol, and blackberry and fig notes. Spicy accents along with mineral, espresso, orange peel and savory notes are common as well. Pair these expressive, full-bodied reds with grilled lamb or beef, wild boar, sausages or hearty winter stews.",375,4.0,,0.13661273486430062,0.027665150137500996,,,"Garnet red, which forms dense tears. Attractive, powerful and complex aroma. It mixes spicy notes with aromas of caramel raisins and ripe figs, rounded with the sweet smoky aroma resulting from aging time in the oak barrels. In the mouth it is dense and tasty, with sweet and spicy tannins. Fleshy, sweet and very round, with a surprising and long aromatic persistence reminiscent of the terroir where the Priory was born.",Spain,1,Red
